Fecha;Tipo Producto;Exportaciones Tm
2004-02;OTROS QUEROSENOS;0
2004-02;GLP;7056
2004-03;BIODIESEL;0
2004-03;GASÓLEO A;34324
2004-03;GASÓLEO B;3042
2004-03;GASÓLEO C;0
2004-03;OTROS GASOLEOS;18406
2004-03;BIOETANOL;0
2004-03;GASOLINA  AUTO. S/PB 95 I.O.;170827
2004-03;GASOLINA  AUTO. S/PB 98 I.O.;34137
2004-03;OTRAS GASOLINAS;33769
2004-03;FUELÓLEO  BIA;0
2004-03;OTROS FUELÓLEOS;146572
2004-03;QUEROSENO AVIACIÓN;4011
2004-03;OTROS QUEROSENOS;0
2004-03;GLP;7992
2004-04;BIODIESEL;0
2004-04;GASÓLEO A;29596
2004-04;GASÓLEO B;2223
2004-04;GASÓLEO C;0
2004-04;OTROS GASOLEOS;34590
2004-04;BIOETANOL;0
2004-04;GASOLINA  AUTO. S/PB 95 I.O.;80507
2004-04;GASOLINA  AUTO. S/PB 98 I.O.;9752
2004-04;OTRAS GASOLINAS;79075
2004-04;FUELÓLEO  BIA;49249
2004-04;OTROS FUELÓLEOS;140394
2004-04;QUEROSENO AVIACIÓN;13844
2004-04;OTROS QUEROSENOS;0
2004-04;GLP;6599
2004-05;BIODIESEL;0
2004-05;GASÓLEO A;30216
2004-05;GASÓLEO B;773
2004-05;GASÓLEO C;0
2004-05;OTROS GASOLEOS;26911
2004-05;BIOETANOL;0
2004-05;GASOLINA  AUTO. S/PB 95 I.O.;158915
2004-05;GASOLINA  AUTO. S/PB 98 I.O.;26925
2004-05;OTRAS GASOLINAS;126057
2004-05;FUELÓLEO  BIA;57320
2004-05;OTROS FUELÓLEOS;133208
2004-05;QUEROSENO AVIACIÓN;3526
2004-05;OTROS QUEROSENOS;395
2004-05;GLP;5300
2004-06;BIODIESEL;0
2004-06;GASÓLEO A;22669
2004-06;GASÓLEO B;225
2004-06;GASÓLEO C;0
2004-06;OTROS GASOLEOS;25203
2004-06;BIOETANOL;0
2004-06;GASOLINA  AUTO. S/PB 95 I.O.;87048
2004-06;GASOLINA  AUTO. S/PB 98 I.O.;3952
2004-06;OTRAS GASOLINAS;114122
2004-06;FUELÓLEO  BIA;29854
2004-06;OTROS FUELÓLEOS;176842
2004-06;QUEROSENO AVIACIÓN;35932
2004-06;OTROS QUEROSENOS;365
2004-06;GLP;4896
2004-07;BIODIESEL;0
2004-07;GASÓLEO A;25781
2004-07;GASÓLEO B;0
2004-07;GASÓLEO C;0
2004-07;OTROS GASOLEOS;22693
2004-07;BIOETANOL;0
2004-07;GASOLINA  AUTO. S/PB 95 I.O.;96150
2004-07;GASOLINA  AUTO. S/PB 98 I.O.;6571
2004-07;OTRAS GASOLINAS;103034
2004-07;FUELÓLEO  BIA;0
2004-07;OTROS FUELÓLEOS;126
2004-07;QUEROSENO AVIACIÓN;36020
2004-07;OTROS QUEROSENOS;501
2004-07;GLP;4458
2004-08;BIODIESEL;0
2004-08;GASÓLEO A;17796
2004-08;GASÓLEO B;0
2004-08;GASÓLEO C;0
2004-08;OTROS GASOLEOS;56937
2004-08;BIOETANOL;0
2004-08;GASOLINA  AUTO. S/PB 95 I.O.;134280
2004-08;GASOLINA  AUTO. S/PB 98 I.O.;18697
2004-08;OTRAS GASOLINAS;116288
2004-08;FUELÓLEO  BIA;32994
2004-08;OTROS FUELÓLEOS;112695
2004-08;QUEROSENO AVIACIÓN;6234
2004-08;OTROS QUEROSENOS;213
2004-08;GLP;4234
2004-09;BIODIESEL;0
2004-09;GASÓLEO A;18341
2004-09;GASÓLEO B;0
2004-09;GASÓLEO C;0
2004-09;OTROS GASOLEOS;33648
2004-09;BIOETANOL;0
2004-09;GASOLINA  AUTO. S/PB 95 I.O.;102577
2004-09;GASOLINA  AUTO. S/PB 98 I.O.;5976
2004-09;OTRAS GASOLINAS;36621
2004-09;FUELÓLEO  BIA;0
2004-09;OTROS FUELÓLEOS;142876
2004-09;QUEROSENO AVIACIÓN;5164
2004-09;OTROS QUEROSENOS;80
2004-09;GLP;5083
2004-10;BIODIESEL;0
2004-10;GASÓLEO A;18060
2004-10;GASÓLEO B;0
2004-10;GASÓLEO C;0
2004-10;OTROS GASOLEOS;27202
2004-10;BIOETANOL;0
2004-10;GASOLINA  AUTO. S/PB 95 I.O.;80531
2004-10;GASOLINA  AUTO. S/PB 98 I.O.;5259
2004-10;OTRAS GASOLINAS;138309
2004-10;FUELÓLEO  BIA;0
2004-10;OTROS FUELÓLEOS;153192
2004-10;QUEROSENO AVIACIÓN;4662
2004-10;OTROS QUEROSENOS;107
2004-10;GLP;5626
2004-11;BIODIESEL;0
2004-11;GASÓLEO A;34263
2004-11;GASÓLEO B;4005
2004-11;GASÓLEO C;0
2004-11;OTROS GASOLEOS;22160
2004-11;BIOETANOL;0
2004-11;GASOLINA  AUTO. S/PB 95 I.O.;105260
2004-11;GASOLINA  AUTO. S/PB 98 I.O.;3158
2004-11;OTRAS GASOLINAS;172849
2004-11;FUELÓLEO  BIA;66356
2004-11;OTROS FUELÓLEOS;171929
2004-11;QUEROSENO AVIACIÓN;12809
2004-11;OTROS QUEROSENOS;80
2004-11;GLP;6867
2004-12;BIODIESEL;0
2004-12;GASÓLEO A;31287
2004-12;GASÓLEO B;1501
2004-12;GASÓLEO C;8779
2004-12;OTROS GASOLEOS;58167
2004-12;BIOETANOL;0
2004-12;GASOLINA  AUTO. S/PB 95 I.O.;110216
2004-12;GASOLINA  AUTO. S/PB 98 I.O.;14515
2004-12;OTRAS GASOLINAS;158804
2004-12;FUELÓLEO  BIA;35951
2004-12;OTROS FUELÓLEOS;123400
2004-12;QUEROSENO AVIACIÓN;30793
2004-12;OTROS QUEROSENOS;54
2004-12;GLP;8880
2005-01;BIODIESEL;0
2005-01;GASÓLEO A;17223
2005-01;GASÓLEO B;7391
2005-01;GASÓLEO C;0
2005-01;OTROS GASOLEOS;25227
2005-01;BIOETANOL;0
2005-01;GASOLINA  AUTO. S/PB 95 I.O.;107104
2005-01;GASOLINA  AUTO. S/PB 98 I.O.;16773
2005-01;OTRAS GASOLINAS;121051
2005-01;FUELÓLEO  BIA;0
2005-01;OTROS FUELÓLEOS;181815
2005-01;QUEROSENO AVIACIÓN;5044
2005-01;OTROS QUEROSENOS;54
2005-01;GLP;8205
2005-02;BIODIESEL;0
2005-02;GASÓLEO A;17993
2005-02;GASÓLEO B;7011
2005-02;GASÓLEO C;0
2005-02;OTROS GASOLEOS;18833
2005-02;BIOETANOL;0
2005-02;GASOLINA  AUTO. S/PB 95 I.O.;128868
2005-02;GASOLINA  AUTO. S/PB 98 I.O.;26323
2005-02;OTRAS GASOLINAS;154295
2005-02;FUELÓLEO  BIA;0
2005-02;OTROS FUELÓLEOS;423
2005-02;QUEROSENO AVIACIÓN;30614
2005-02;OTROS QUEROSENOS;159
2005-02;GLP;8651
2005-03;BIODIESEL;0
2005-03;GASÓLEO A;14249
2005-03;GASÓLEO B;232
2005-03;GASÓLEO C;0
2005-03;OTROS GASOLEOS;23355
2005-03;BIOETANOL;0
2005-03;GASOLINA  AUTO. S/PB 95 I.O.;38798
2005-03;GASOLINA  AUTO. S/PB 98 I.O.;52592
2005-03;OTRAS GASOLINAS;66762
2005-03;FUELÓLEO  BIA;0
2005-03;OTROS FUELÓLEOS;31543
2005-03;QUEROSENO AVIACIÓN;1762
2005-03;OTROS QUEROSENOS;263
2005-03;GLP;9047
2005-04;BIODIESEL;0
2005-04;GASÓLEO A;13240
2005-04;GASÓLEO B;122
2005-04;GASÓLEO C;106
2005-04;OTROS GASOLEOS;25865
2005-04;BIOETANOL;0
2005-04;GASOLINA  AUTO. S/PB 95 I.O.;30243
2005-04;GASOLINA  AUTO. S/PB 98 I.O.;42779
2005-04;OTRAS GASOLINAS;150453
2005-04;FUELÓLEO  BIA;0
2005-04;OTROS FUELÓLEOS;71352
2005-04;QUEROSENO AVIACIÓN;10074
2005-04;OTROS QUEROSENOS;107
2005-04;GLP;6226
2005-05;BIODIESEL;0
2005-05;GASÓLEO A;13731
2005-05;GASÓLEO B;59
2005-05;GASÓLEO C;241
2005-05;OTROS GASOLEOS;26260
2005-05;BIOETANOL;0
2005-05;GASOLINA  AUTO. S/PB 95 I.O.;59794
2005-05;GASOLINA  AUTO. S/PB 98 I.O.;42238
2005-05;OTRAS GASOLINAS;166441
2005-05;FUELÓLEO  BIA;0
2005-05;OTROS FUELÓLEOS;71092
2005-05;QUEROSENO AVIACIÓN;15079
2005-05;OTROS QUEROSENOS;212
2005-05;GLP;5405
2005-06;BIODIESEL;0
2005-06;GASÓLEO A;34485
2005-06;GASÓLEO B;127
2005-06;GASÓLEO C;715
2005-06;OTROS GASOLEOS;19952
2005-06;BIOETANOL;0
2005-06;GASOLINA  AUTO. S/PB 95 I.O.;17294
2005-06;GASOLINA  AUTO. S/PB 98 I.O.;6244
2005-06;OTRAS GASOLINAS;223249
2005-06;FUELÓLEO  BIA;0
2005-06;OTROS FUELÓLEOS;208561
2005-06;QUEROSENO AVIACIÓN;3508
2005-06;OTROS QUEROSENOS;292
2005-06;GLP;4769
2005-07;BIODIESEL;0
2005-07;GASÓLEO A;18677
2005-07;GASÓLEO B;34
2005-07;GASÓLEO C;365
2005-07;OTROS GASOLEOS;20046
2005-07;BIOETANOL;0
2005-07;GASOLINA  AUTO. S/PB 95 I.O.;12697
2005-07;GASOLINA  AUTO. S/PB 98 I.O.;22063
2005-07;OTRAS GASOLINAS;164722
2005-07;FUELÓLEO  BIA;0
2005-07;OTROS FUELÓLEOS;33000
2005-07;QUEROSENO AVIACIÓN;25930
2005-07;OTROS QUEROSENOS;239
2005-07;GLP;4436
2005-08;BIODIESEL;0
2005-08;GASÓLEO A;52406
2005-08;GASÓLEO B;36
2005-08;GASÓLEO C;410
2005-08;OTROS GASOLEOS;23269
2005-08;BIOETANOL;0
2005-08;GASOLINA  AUTO. S/PB 95 I.O.;45444
2005-08;GASOLINA  AUTO. S/PB 98 I.O.;18887
2005-08;OTRAS GASOLINAS;130704
2005-08;FUELÓLEO  BIA;0
2005-08;OTROS FUELÓLEOS;65965
2005-08;QUEROSENO AVIACIÓN;7800
2005-08;OTROS QUEROSENOS;133
2005-08;GLP;4504
2005-09;BIODIESEL;0
2005-09;GASÓLEO A;26535
2005-09;GASÓLEO B;2851
2005-09;GASÓLEO C;30049
2005-09;OTROS GASOLEOS;43862
2005-09;BIOETANOL;0
2005-09;GASOLINA  AUTO. S/PB 95 I.O.;104047
2005-09;GASOLINA  AUTO. S/PB 98 I.O.;29371
2005-09;OTRAS GASOLINAS;113385
2005-09;FUELÓLEO  BIA;0
2005-09;OTROS FUELÓLEOS;151429
2005-09;QUEROSENO AVIACIÓN;11251
2005-09;OTROS QUEROSENOS;132
2005-09;GLP;5054
2005-10;BIODIESEL;0
2005-10;GASÓLEO A;50980
2005-10;GASÓLEO B;13759
2005-10;GASÓLEO C;7393
2005-10;OTROS GASOLEOS;71628
2005-10;BIOETANOL;0
2005-10;GASOLINA  AUTO. S/PB 95 I.O.;143883
2005-10;GASOLINA  AUTO. S/PB 98 I.O.;15025
2005-10;OTRAS GASOLINAS;126813
2005-10;FUELÓLEO  BIA;0
2005-10;OTROS FUELÓLEOS;167057
2005-10;QUEROSENO AVIACIÓN;10795
2005-10;OTROS QUEROSENOS;81
2005-10;GLP;5286
2005-11;BIODIESEL;0
2005-11;GASÓLEO A;42764
2005-11;GASÓLEO B;41976
2005-11;GASÓLEO C;0
2005-11;OTROS GASOLEOS;17880
2005-11;BIOETANOL;0
2005-11;GASOLINA  AUTO. S/PB 95 I.O.;140494
2005-11;GASOLINA  AUTO. S/PB 98 I.O.;18221
2005-11;OTRAS GASOLINAS;183708
2005-11;FUELÓLEO  BIA;0
2005-11;OTROS FUELÓLEOS;181000
2005-11;QUEROSENO AVIACIÓN;1784
2005-11;OTROS QUEROSENOS;55
2005-11;GLP;6477
2005-12;BIODIESEL;0
2005-12;GASÓLEO A;53151
2005-12;GASÓLEO B;4739
2005-12;GASÓLEO C;53
2005-12;OTROS GASOLEOS;28105
2005-12;BIOETANOL;0
